Company Name,Holding Company Name,Year,Customer State,IEEE SAIDI Including MED,IEEE SAIDI Excluding MED,IEEE SAIDI Including MED Minus Loss of Supply,IEEE SAIFI Including MED,IEEE SAIFI Excluding MED,IEEE SAIFI Including MED Minus Loss of Supply,IEEE Total Customers,IEEE High Voltage,IEEE Automatically Recorded,Other - SAIDI Including MED,Other - SAIDI Excluding MED,Other - SAIFI Including MED,Other - SAIFI Excluding MED,Other - Total Customers,Other - Active Accounts,Other - Momentary Interruptions,Other - High Voltage,Other - Automatically Recorded,NERC Region Name,NERC Region Abbrev,Ownership Type,Regulated / Non-regulated
4 County Electric Power Association,4 County Electric Power Association,2018,MS,168.8,2.14,153.8,2.06,157.41,2,47460,13,Y,,,,,,,,,N,SERC Reliability Corp,SERC,DistCoop,Regulated
4 County Electric Power Association,4 County Electric Power Association,2017,MS,143.71,131.83,143.68,1.95,1.87,1.83,46677,13,Y,,,,,,,,,N,SERC Reliability Corp,SERC,DistCoop,Regulated
4 County Electric Power Association,4 County Electric Power Association,2016,MS,547.71,159.94,536.53,2.27,1.99,2.14,46569,13,,,,,,,,,,,SERC Reliability Corp,SERC,DistCoop,Regulated
4 County Electric Power Association,4 County Electric Power Association,2015,MS,281.16,137.05,275.39,2,1.53,1.77,46138,13,Y,,,,,,,,,,SERC Reliability Corp,SERC,DistCoop,Regulated
4 County Electric Power Association,4 County Electric Power Association,2014,MS,253.2,173.4,218.4,2.35,2.2,2.18,45260,13,Y,,,,,,,,,,SERC Reliability Corp,SERC,DistCoop,Regulated
4 County Electric Power Association,4 County Electric Power Association,2013,MS,253.2,173.4,218.4,2.35,2.2,2.18,45260,13,Y,0,0,0,0,0,,,0,,SERC Reliability Corp,SERC,DistCoop,Regulated
A & N Electric Coop,A & N Electric Coop,2018,MD,,,,,,,,,N,1.74,0.006,0.2,0.003,311,Y,O,12.5,N,ReliabilityFirst,RFC,DistCoop,Regulated
A & N Electric Coop,A & N Electric Coop,2018,VA,,,,,,,,,N,178.405,1.707,68.926,1.03,35908,Y,O,24.9,N,ReliabilityFirst,RFC,DistCoop,Regulated
A & N Electric Coop,A & N Electric Coop,2017,MD,,,,,,,,,N,31.959,31.959,0.22,0.22,311,Y,O,12.5,N,ReliabilityFirst,RFC,DistCoop,Regulated
A & N Electric Coop,A & N Electric Coop,2017,VA,,,,,,,,,N,102.516,102.516,1.281,1.281,35827,Y,O,24.9,N,ReliabilityFirst,RFC,DistCoop,Regulated
