Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2007,"Tike Redman","Orioles (AAA)",30,80,296,336,90,67,15,6,2,53,27,32,0,24,2,3,3,3,25,8,0.304054054,"1003"
2007,"Chris Fussell","Dodgers (AAA)",31,18,6,7,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,"1004410"
2007,"Robin Jennings","Nationals (AAA)",35,31,104,112,26,13,9,0,4,14,14,7,0,14,0,1,0,6,0,0,0.25,"1006397"
2007,"Robin Jennings","Nationals (AA)",35,22,78,85,22,15,4,0,3,9,7,7,0,14,0,0,0,0,1,0,0.282051282,"1006397"
2007,"Scott Sauerbeck","Astros (AAA)",35,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1007"
2007,"Juan Melo","Nationals (AA)",30,54,188,212,45,33,8,0,4,13,23,16,1,28,3,3,2,7,1,4,0.239361702,"1008752"
2007,"George Lombard","Nationals (AAA)",31,49,127,148,31,21,6,0,4,13,11,16,0,42,1,1,2,2,10,3,0.244094488,"101"
2007,"George Lombard","Nationals (R)",31,5,15,20,7,5,2,0,0,3,1,4,0,2,0,0,1,1,1,1,0.466666666,"101"
2007,"Dave Williams","Mets (AAA)",28,5,11,12,1,1,0,0,0,1,0,1,0,9,0,0,0,0,0,0,0.09090909,"1013"
2007,"Craig Wilson","White Sox (AAA)",30,15,61,69,11,8,2,0,1,8,5,7,0,28,1,0,0,3,0,0,0.180327868,"1015"
2007,"Kevin Barker","Blue Jays (AAA)",31,130,470,553,122,81,22,1,18,68,76,74,4,119,2,7,0,15,2,0,0.259574468,"1019"
2007,"Sean Burroughs","Mariners (AAA)",26,4,12,16,2,1,1,0,0,2,0,3,0,3,1,0,0,1,0,0,0.166666666,"1021"
2007,"Cesar Crespo","Orioles (AAA)",28,101,340,391,83,65,14,1,3,32,35,38,1,68,0,2,10,8,11,7,0.244117647,"1024"
2007,"Francisco Arcia","Yankees (R)",17,47,156,193,42,24,11,4,3,26,21,25,0,35,10,1,1,3,5,2,0.269230769,"10286"
2007,"Hector Sanchez","Giants (R)",17,44,119,146,34,20,10,0,4,10,18,19,0,15,4,0,4,2,2,2,0.285714285,"10289"
2007,"Eury Perez","Nationals (R)",17,51,158,200,40,34,5,1,0,41,14,32,0,39,7,1,2,3,15,5,0.253164556,"10299"
2007,"Wiki Gonzalez","White Sox (AAA)",33,69,235,253,61,43,8,0,10,25,41,15,1,19,2,0,1,8,1,1,0.259574468,"1033"
2007,"D'Angelo Jimenez","Nationals (AAA)",29,50,171,204,63,41,13,2,7,28,25,31,2,19,0,2,0,3,2,2,0.368421052,"1038"
2007,"Mark Kotsay","Athletics (AAA)",31,10,37,44,10,9,1,0,0,2,2,7,0,1,0,0,0,1,2,0,0.27027027,"1042"
2007,"Brian Lawrence","Rockies (AAA)",31,3,6,7,2,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.333333333,"1045"
2007,"Brian Lawrence","Mets (AAA)",31,10,23,28,4,4,0,0,0,2,1,0,0,4,0,0,5,1,0,0,0.173913043,"1045"
2007,"Danny Dorn","Reds (AA)",22,26,90,109,28,13,6,1,8,20,21,15,0,23,3,1,0,1,1,0,0.311111111,"1050"
2007,"Danny Dorn","Reds (A+)",22,92,338,387,95,61,21,1,12,49,66,32,2,69,12,5,0,5,3,1,0.281065088,"1050"
2007,"Cesar Hernandez","Phillies (R)",17,54,181,205,50,33,7,8,2,32,21,11,0,30,4,2,7,4,6,4,0.276243093,"10556"
2007,"Bubba Trammell","Orioles (A-)",35,9,28,30,4,3,1,0,0,2,3,1,0,9,1,0,0,1,0,0,0.142857142,"1057"
2007,"Ramon Vazquez","Rangers (AAA)",30,35,132,161,34,20,10,2,2,27,13,24,0,27,2,2,1,1,3,1,0.257575757,"1058"
2007,"Brandon Villafuerte","Marlins (AA)",31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1059"
2007,"Brandon Villafuerte","Marlins (AAA)",31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1059"
2007,"Kevin Walker","Rockies (AAA)",30,9,19,21,5,3,2,0,0,4,0,0,0,3,0,0,2,1,0,0,0.263157894,"1060"
2007,"Jeff Cirillo","Twins (A+)",37,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1073"
2007,"Ben Davis","Dodgers (AAA)",30,36,110,121,24,19,4,0,1,13,11,10,1,24,0,1,0,0,0,1,0.218181818,"1074"
2007,"Kenny Kelly","White Sox (AAA)",28,78,246,281,63,47,7,0,9,39,28,30,0,61,0,0,5,4,12,3,0.25609756,"1084"
2007,"Julio Mateo","Phillies (AA)",29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1087"
2007,"Darren Ford","Brewers (A+)",21,72,273,317,63,51,7,1,4,46,27,35,0,67,1,3,5,1,36,6,0.23076923,"109"
2007,"Darren Ford","Brewers (A)",21,51,224,254,75,51,15,4,5,48,33,23,1,56,1,1,5,2,31,10,0.334821428,"109"
2007,"Scott Podsednik","White Sox (AAA)",31,20,73,87,21,15,5,0,1,12,6,10,0,15,2,2,0,1,2,3,0.287671232,"1095"
2007,"Desi Relaford","Rangers (AAA)",33,88,316,364,84,59,17,2,6,45,52,41,0,54,3,2,2,11,6,0,0.265822784,"1096"
2007,"Darin Erstad","White Sox (AAA)",33,12,47,52,6,6,0,0,0,3,2,5,0,14,0,0,0,0,0,0,0.127659574,"11"
2007,"Rich Aurilia","Giants (AAA)",35,2,6,7,2,2,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0.333333333,"1106"
2007,"Edwards Guzman","Mets (AA)",30,17,62,67,14,12,2,0,0,3,8,5,0,10,0,0,0,1,0,0,0.225806451,"1115"
2007,"Ramon Martinez","Dodgers (AAA)",34,6,14,18,5,4,1,0,0,6,2,4,0,1,0,0,0,2,0,0,0.357142857,"1120"
2007,"Russ Ortiz","Giants (AAA)",33,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"1124"
2007,"Cody Ransom","Astros (AAA)",31,135,503,563,131,68,35,0,28,75,90,52,2,131,4,3,1,9,21,5,0.260437375,"1126"
2007,"Steven Lerud","Pirates (A+)",22,84,287,328,58,36,17,1,4,27,31,31,1,63,9,1,0,11,3,2,0.202090592,"113"
2007,"Adrian Sanchez","Nationals (R)",16,42,145,168,39,26,11,1,1,21,19,12,0,25,7,0,4,3,4,3,0.268965517,"11338"
2007,"Carlos Rivero","Indians (A)",19,115,436,490,114,81,26,0,7,59,62,47,0,84,1,4,2,16,1,2,0.261467889,"1136"
2007,"Jerome Williams","Nationals (AA)",25,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"1137"
2007,"Rick Ankiel","Cardinals (AAA)",27,102,389,423,104,54,15,3,32,62,89,25,5,90,4,5,0,11,4,3,0.267352185,"1142"
2007,"Mike DiFelice","Mets (AAA)",38,72,248,272,70,54,9,0,7,37,38,20,0,61,2,1,1,5,0,1,0.282258064,"1151"
2007,"Luther Hackman","Brewers (AAA)",32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1155"
2007,"Lendy Castillo","Phillies (R)",18,60,196,219,56,48,6,1,1,36,20,16,0,23,2,2,3,5,12,2,0.285714285,"11562"
2007,"Andrew Romine","Angels (R)",21,56,231,249,66,49,6,6,5,38,35,16,0,38,2,0,0,3,12,4,0.285714285,"1159"
2007,"Chris Valaika","Reds (A)",21,79,300,331,92,59,20,3,10,38,56,17,0,72,8,6,0,9,1,4,0.306666666,"1165"
2007,"Chris Valaika","Reds (A+)",21,57,217,241,55,43,9,1,2,26,23,13,0,42,6,3,2,7,0,3,0.253456221,"1165"
2007,"Eli Marrero","Cardinals (AAA)",33,1,4,4,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.5,"1166"
2007,"Kerry Robinson","Red Sox (AAA)",33,7,28,29,7,5,2,0,0,3,2,1,0,4,0,0,0,1,1,0,0.25,"1179"
2007,"Dave Veres","Rockies (AAA)",40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1188"
2007,"Steve Torrealba","Tigers (AA)",29,90,298,337,69,49,10,0,10,38,45,25,0,63,4,4,6,11,1,0,0.231543624,"119"
2007,"Chris Johnson","Astros (A+)",22,60,224,240,59,42,11,0,6,24,38,8,1,41,3,5,0,9,1,0,0.263392857,"1191"
