Company Name,Ownership Type,Holding Company Name,State,City,Website,Planning Area Name,Balancing Authority Area Name,Membership Name,Overlap,Area (sq mi),Location Code,Source,Population 2000,Number Of Households,Median Household Income,Household Aggregate Income,Per Capita Income,Layer_ID,Rec_ID,Bundled Residential Customers,Bundled Industrial Customers,Bundled Commercial Customers,Bundled Total Customers,Total Customers Ranges,Color_Code,Distribution Line Miles,Population 2010
4 County Electric Power Association,DistCoop,4 County Electric Power Association,MS,Columbus,www.4county.org,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,F,2524.720753,3,Company Maps; ABB Research,106512.1,48833.01,-99.9,-99.9,-99.9,81,1216,39115,7,9442,48564,"3,000 to 100,000",4,-99.9,109538.28
A & N Electric Coop,DistCoop,A & N Electric Coop,VA,Parksley,www.anecop.com,Old Dominion Electric Coop Inc,PJM Interconnection,Old Dominion Electric Coop,T,966.1824132,3,Company Maps; ABB Research,51954.41,28633.64421,-99.9,-99.9,-99.9,81,1487,31653,8,4173,35834,"3,000 to 100,000",5,-99.9,46024.63357
Abbeville LA (City of),Muni,Abbeville LA (City of),LA,Abbeville,www.vermilion.org/abbeville.htm,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,2.256995293,4,Previously Mapped Features; ABB Research,5152.044471,2087.415351,-99.9,-99.9,-99.9,81,370,4655,27,1032,5714,"3,000 to 100,000",1,-99.9,4774.794384
Abbeville SC (City of),Muni,Abbeville SC (City of),SC,Abbeville,,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,Not Applicable,F,4.256064845,4,Previously Mapped Features; ABB Research,5281,122.4178327,-99.9,-99.9,-99.9,81,1349,2906,0,492,3398,"3,000 to 100,000",4,-99.9,268.2295989
Aberdeen MS (City of),Muni,Aberdeen MS (City of),MS,Aberdeen,,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,F,32.44458085,4,Previously Mapped Features; ABB Research,6554.776583,2680.612102,-99.9,-99.9,-99.9,81,1350,2566,2,664,3232,"3,000 to 100,000",3,-99.9,6108.446492
Access Energy Coop,DistCoop,Access Energy Coop,IA,Mount Pleasant,www.accessenergycoop.com,Associated Electric Coop Inc,Associated Electric Coop Inc,Northeast Missouri Electric Power Coop,F,1154.140993,3,Company Maps; ABB Research,32385.43998,14744.75662,-99.9,-99.9,-99.9,81,1643,8690,26,192,8908,"3,000 to 100,000",2,-99.9,34226.98008
Acworth GA (City of),Muni,Acworth GA (City of),GA,Acworth,,Georgia Power Co,Southern Co Services Inc,Municipal Electric Authority of Georgia,F,2.882351057,4,Previously Mapped Features; ABB Research,4532.97773,2708.829045,-99.9,-99.9,-99.9,81,371,5944,3,597,6544,"3,000 to 100,000",2,-99.9,6584.648337
Ada MN (City of),Muni,Ada MN (City of),MN,Ada,,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,0.82748931,4,Previously Mapped Features; ABB Research,1618,6.276673006,-99.9,-99.9,-99.9,81,372,897,35,155,1087,"0 to 3,000",1,-99.9,12.97376468
Adams Columbia Electric Coop,DistCoop,Adams Columbia Electric Coop,WI,Friendship,www.acecwi.com,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,1592.935352,4,Previously Mapped Features; ABB Research,55905.72051,38698.75703,-99.9,-99.9,-99.9,81,2424,34207,932,2211,37350,"3,000 to 100,000",1,-99.9,62534.00983
Adams Electric Coop (IL),DistCoop,Adams Electrical Coop,IL,Camp Point,www.adamselectriccoop.com,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Prairie Power Inc,F,1251.615268,3,Company Maps; ABB Research,25453.32523,10888.31258,-99.9,-99.9,-99.9,81,332,8664,0,225,8889,"3,000 to 100,000",5,-99.9,25143.70332
